Algebra Analisi1 Analisi2 Fisica1 Fisica2 Geometria1 Geometria2 MecRaz Anno
28 30 27 24 28 24 27 21 1996
30 31 30 30 30 30 27 22 2001
30 27 27 25 22 26 24 25 1995
26 18 18 20 18 25 20 20 2000
24 27 23 27 18 21 23 18 1998
24 18 18 20 28 21 18 25 1995
30 25 27 31 28 18 18 27 1996
26 27 28 22 25 27 27 25 1995
29 25 25 20 31 21 22 23 1998
26 25 21 23 27 18 23 22 1995
26 25 18 23 24 27 23 19 1995
29 20 27 26 30 26 28 27 1996
21 24 20 19 27 24 22 26 2001
22 28 24 24 23 27 20 25 1996
27 23 23 24 27 28 28 26 1995
24 31 24 26 26 25 24 21 1995
26 30 24 30 30 30 22 31 1997
25 21 20 20 30 25 24 25 1995
28 28 26 26 25 24 28 25 2000
25 20 20 25 26 27 21 27 1996
27 21 21 22 25 21 23 20 1996
25 18 19 20 30 19 20 24 1995
24 20 23 27 30 26 24 27 1995
25 20 18 23 18 18 18 26 1995
22 23 18 27 18 18 24 25 1997
27 23 26 23 30 21 20 24 1997
22 22 26 20 31 23 20 24 1996
28 23 20 23 27 22 25 21 1996
21 21 19 24 23 18 21 24 1995
25 26 20 26 26 26 19 25 1995
24 23 24 19 30 20 27 28 2002
25 26 28 27 30 24 27 30 1996
30 23 27 31 28 26 27 24 1998
26 23 20 26 18 26 21 23 1995
22 25 26 28 27 25 24 28 1998
26 24 21 23 25 28 26 26 1996
29 27 24 24 28 26 24 26 1996
23 27 24 26 27 23 22 20 1997
23 27 22 24 27 24 28 19 1996
24 24 19 23 27 25 26 24 1996
27 21 24 24 24 27 28 25 1995
25 25 22 21 28 26 28 25 1995
20 24 24 27 30 20 25 26 1998
24 21 25 19 24 20 25 22 2001
22 19 22 26 30 19 24 24 1996
28 26 27 30 30 27 26 27 1995
22 31 24 27 27 24 27 28 1996
22 26 19 23 24 30 18 27 1995
24 25 24 26 27 24 28 24 1996
23 18 20 22 28 23 28 28 2001
28 30 30 26 31 27 26 28 1995
25 21 24 24 29 27 25 18 1996
20 22 20 26 23 24 23 22 1998
24 20 24 26 28 18 22 23 1996
21 21 24 26 27 18 18 24 1997
20 24 22 25 27 18 18 24 1996
27 22 24 27 30 27 25 24 1995
24 20 22 26 30 24 27 26 1997
23 24 19 20 31 27 24 22 1995
26 23 24 27 30 21 28 26 1995
28 20 19 28 27 24 20 18 1995
26 25 21 24 26 26 27 30 1995
24 22 22 21 28 27 18 24 1997
27 25 20 26 26 26 24 27 1996
27 18 28 27 28 24 26 28 1997
22 20 21 27 26 18 19 22 1997
26 26 22 26 25 23 22 25 1997
30 24 25 27 31 26 27 27 1997
19 23 19 27 28 23 21 18 1999
24 24 19 20 28 28 25 22 1995
24 21 21 23 28 27 18 20 1995
25 25 27 30 31 28 28 28 1995
28 27 27 30 31 30 27 27 1997
27 22 24 25 28 20 20 25 1996
27 21 25 30 26 23 30 24 1995
26 25 23 26 26 30 18 25 1995
20 19 25 20 25 22 24 24 1997
21 24 25 22 28 18 24 22 1995
21 24 24 28 28 23 21 24 1997
24 24 23 26 25 24 18 24 1997
23 24 21 26 28 27 23 20 1996
26 19 25 22 23 25 24 24 1996
27 19 25 28 29 27 26 24 1995
21 21 18 26 30 25 20 23 1997
27 26 22 30 27 21 23 24 1995
23 22 18 22 18 21 18 22 1996
22 20 19 20 28 18 21 18 1999
30 31 30 30 31 30 30 30 1995
30 27 24 24 25 30 27 28 1996
21 19 18 24 23 22 25 26 1999
27 21 24 23 30 26 18 25 1997
22 18 24 28 28 18 26 22 1997
24 24 22 23 30 26 22 25 1996
25 20 23 21 31 27 21 25 1997
24 24 22 19 28 26 18 27 2000
25 21 21 23 28 26 21 26 1996
22 22 20 22 27 24 18 21 1997
22 28 27 21 31 23 23 23 1999
27 28 27 25 26 30 27 28 1995
25 19 25 28 28 28 27 24 1995
19 21 19 24 26 18 20 20 1997
30 20 25 27 30 22 24 27 1996
27 25 28 25 27 22 21 24 1996
30 28 28 28 29 21 28 28 1995
24 30 26 29 30 28 27 30 1996
26 25 21 27 27 25 18 26 1996
25 20 21 18 27 25 24 19 1997
27 25 24 20 27 22 24 25 2000
28 19 21 24 24 19 20 25 1999
30 24 24 28 31 25 28 27 1996
28 23 22 22 30 26 20 20 2001
27 25 21 26 30 18 21 24 1998
24 28 25 20 30 23 25 30 1996
25 19 24 25 25 26 23 26 1996
25 19 20 23 26 20 24 19 1998
22 26 30 26 31 21 24 28 1997
30 26 24 27 30 28 25 24 1996
23 23 23 30 25 27 25 18 1996
22 19 19 25 23 18 28 30 1996
28 30 24 25 31 20 23 28 1995
26 28 30 30 31 30 30 31 1996
30 28 29 28 31 28 30 28 1995
30 28 30 31 31 30 30 30 1997
26 19 25 29 28 26 21 30 1997
25 20 20 24 23 20 18 19 1998
24 24 28 23 28 18 24 20 1995
27 27 27 27 25 27 24 26 1998
28 24 21 26 30 24 23 22 1997
30 25 24 26 25 24 28 22 1996
27 24 24 28 26 26 26 22 2000
29 21 20 25 30 27 24 23 1996
24 22 23 27 30 20 22 27 1997
30 26 26 30 31 30 30 26 1995
25 23 23 23 23 20 26 26 1997
24 19 22 24 28 24 26 25 1995
20 24 18 22 26 21 18 24 1997
28 20 22 27 26 24 21 20 1995
24 23 20 22 30 25 27 30 2002
22 24 23 28 25 23 21 22 1996
25 20 23 24 20 22 24 20 1995
28 21 25 28 31 24 26 30 1999
19 30 26 22 22 19 25 23 2000
19 20 21 21 30 23 23 21 1999
24 27 23 27 27 18 25 28 2001
30 25 29 27 30 25 30 27 1999
29 20 19 24 29 20 24 20 1996
30 25 25 28 30 30 27 27 1995
28 18 26 25 25 18 18 21 1998
22 24 22 22 27 24 24 22 1998
19 19 20 23 21 20 18 24 1997
23 25 19 24 25 26 27 24 1999
28 21 21 18 26 20 19 20 1997
25 23 22 25 24 25 19 20 1995
25 18 19 25 28 18 19 22 1999
21 21 20 20 26 19 18 24 1999
30 26 26 28 24 20 24 22 2001
24 19 24 23 28 24 27 26 1996
24 26 18 20 26 23 23 24 2000
24 26 27 30 30 21 28 26 1998
26 21 20 27 27 26 23 25 1997
20 19 24 25 25 21 21 24 2001
26 27 24 30 30 18 28 26 1997
28 21 19 29 27 23 21 30 1997
25 20 20 25 30 28 27 26 1999
29 24 24 28 27 30 30 26 1998
21 21 24 20 27 20 24 22 1999
23 19 18 24 30 26 22 22 1995
30 20 21 28 30 28 26 27 1995
18 18 25 23 27 20 20 26 1995
23 18 24 26 27 23 20 18 1998
28 25 21 27 27 23 27 26 1997
20 25 20 28 30 18 24 24 2002
27 24 24 24 28 25 27 25 1996
19 18 23 21 18 20 20 20 1995
28 27 26 30 31 30 28 25 1995
24 20 21 28 31 25 24 30 1998
26 21 25 26 30 22 25 26 1998
24 19 22 19 26 24 21 22 1997
25 24 25 31 30 27 27 27 1996
30 27 26 28 30 28 27 22 1997
23 19 24 22 24 24 20 23 1998
25 20 18 26 28 19 25 26 1998
31 30 30 31 31 30 31 28 1996
24 27 24 19 26 24 20 28 2000
28 27 27 25 26 26 25 28 1997
27 28 30 30 30 25 28 30 1999
27 21 21 26 30 28 26 28 1996
27 22 27 27 28 26 27 23 1996
26 21 24 26 26 24 24 28 1999
30 30 30 26 27 26 24 30 1997
23 27 23 25 26 22 20 20 1999
27 24 26 25 30 28 26 30 1998
30 25 30 28 30 30 30 28 1998
26 27 24 26 31 30 30 26 1996
19 21 22 23 20 18 26 26 1998
30 22 23 29 31 26 22 27 1996
26 21 19 27 24 25 24 24 1997
20 26 22 28 30 26 19 23 2000
30 22 26 30 31 30 31 27 1996
29 23 24 30 27 27 26 27 1995
26 27 25 24 29 26 22 22 1997
21 19 23 28 27 23 27 21 1999
30 26 28 30 26 27 30 28 1996
24 18 19 27 30 20 18 25 1998
29 22 24 25 31 24 27 27 1995
23 23 25 27 28 20 21 21 1998
30 31 30 30 30 31 31 31 1997
30 30 25 30 30 25 26 30 1996
19 20 22 23 23 23 23 22 1998
30 24 25 26 27 27 28 31 1996
25 21 23 28 30 24 27 25 2001
30 28 28 30 29 30 30 28 1997
30 25 27 30 30 28 27 30 1996
30 23 22 26 31 27 26 24 1996
28 23 24 28 28 28 26 21 1997
30 21 24 23 27 27 26 28 1996
22 27 23 30 27 24 24 25 1999
30 27 24 27 28 30 30 30 1997
21 26 24 27 30 25 21 20 1997
23 25 22 26 30 25 24 24 2000
22 20 22 21 27 18 18 22 2002
28 21 28 24 28 26 30 27 1996
28 20 18 22 28 18 18 28 1998
23 21 19 27 24 26 23 26 1998
25 30 19 30 27 21 20 26 1995
18 23 24 21 24 22 18 20 1999
24 20 25 22 28 30 24 24 1997
28 22 25 27 30 23 24 27 1995
21 21 25 20 26 19 25 23 1995
23 27 22 21 28 26 27 27 2000
30 30 29 30 29 30 30 28 1996
22 21 23 28 26 22 25 26 1999
24 24 25 20 27 22 24 28 2000
29 30 27 28 28 28 28 30 1997
30 24 28 28 28 28 30 26 1996
20 18 20 27 27 24 20 18 1999
30 24 25 28 30 27 27 28 1998
27 23 20 27 30 23 18 26 1998
21 18 19 26 28 27 20 24 2000
30 24 23 30 27 30 27 28 1998
30 26 27 30 28 30 30 30 1996
28 25 19 28 30 26 24 25 1998
24 24 22 27 30 22 23 25 1998
25 24 21 26 30 22 18 19 1998
21 23 18 26 28 26 23 21 1998
26 21 20 26 30 22 27 25 2000
23 20 24 28 25 26 27 26 1998
30 22 18 30 28 26 24 30 1999
24 26 23 27 28 28 23 28 1999
20 26 26 30 26 25 26 27 1999
23 21 25 28 28 24 28 26 2001
26 19 25 19 18 25 27 24 2001
19 20 19 23 24 21 27 25 2001
25 27 27 30 28 26 24 26 1999
30 27 26 30 30 30 27 24 1997
30 23 20 28 30 30 28 24 1998
21 22 21 22 30 23 25 27 2000
20 21 19 25 28 18 25 20 1998
24 21 23 25 27 24 21 25 2000
26 19 23 25 27 23 27 22 1999
25 24 22 24 23 25 21 20 1999
